source,destination,distance_km,blackspot_count,night_time,poor_streetlight,safety_level,via,accident_prone_area
Tiruchirappalli,Mettupalayam,136,8,1,1,High Risk,Pudukkottai,None
Nagapattinam,Namakkal,328,2,1,0,High Risk,Karur,None
Thoothukudi,Perambalur,96,3,0,0,Moderate Risk,Erode → Villupuram,None
Coimbatore,Nagercoil,142,8,0,0,Safe,Erode,None
Chidambaram,Ariyalur,75,3,0,0,Safe,Sathyamangalam,None
Thoothukudi,Ambur,272,6,1,0,High Risk,Sathyamangalam → Perambalur,"Sathyamangalam, Perambalur"
Ambur,Dharmapuri,239,2,1,0,Safe,Villupuram → Mettupalayam → Sathyamangalam,"Sathyamangalam, Mettupalayam"
Tiruppur,Mettupalayam,157,8,1,0,High Risk,Chidambaram,None
Tiruchirappalli,Coimbatore,93,9,1,0,High Risk,Namakkal → Karur,None
Erode,Pollachi,306,6,0,1,Safe,Karur,Karur
Karaikudi,Tenkasi,400,9,0,1,High Risk,Sivakasi → Thoothukudi,"Thoothukudi, Sivakasi"
Mettupalayam,Tenkasi,263,9,0,0,Moderate Risk,Gobichettipalayam → Pattukkottai,None
Chidambaram,Dharmapuri,175,2,1,0,Moderate Risk,Erode → Mettupalayam → Tiruppur,None
Tiruppur,Gobichettipalayam,322,8,1,0,Safe,Chennai,None
Cuddalore,Thanjavur,173,6,0,0,Moderate Risk,Kanchipuram → Sivakasi,Kanchipuram
Cuddalore,Coimbatore,220,8,0,0,High Risk,Kanchipuram,None
Tiruchirappalli,Madurai,262,5,0,0,High Risk,Tambaram → Villupuram → Nagercoil,Nagercoil
Nagapattinam,Chidambaram,249,4,0,1,Safe,Vellore,None
Dharmapuri,Vellore,254,1,0,1,High Risk,Villupuram,None
Pattukkottai,Tambaram,297,5,0,1,High Risk,Tenkasi → Madurai,None
Tambaram,Dindigul,82,2,0,1,High Risk,Sathyamangalam,Sathyamangalam
Pattukkottai,Tiruchirappalli,277,8,0,1,High Risk,Thanjavur → Mettupalayam,"Mettupalayam, Thanjavur"
Madurai,Tirunelveli,105,8,1,1,Safe,Tambaram → Coimbatore → Tenkasi,"Tambaram, Tenkasi"
Chennai,Pollachi,130,8,0,1,Moderate Risk,Salem,None
Coimbatore,Sathyamangalam,70,6,1,0,Safe,Perambalur → Tenkasi → Pudukkottai,Pudukkottai
Nagapattinam,Ariyalur,345,9,0,0,High Risk,Erode,None
Tambaram,Thanjavur,114,3,1,1,High Risk,Karur → Madurai,Karur
Coimbatore,Ambur,116,4,0,0,High Risk,Tirunelveli → Dharmapuri,Tirunelveli
Tiruchirappalli,Avadi,342,5,1,0,High Risk,Thoothukudi → Coimbatore,Coimbatore
Ambur,Nagapattinam,387,10,1,1,High Risk,Thanjavur,Thanjavur
Chidambaram,Kanchipuram,357,10,1,0,High Risk,Pollachi,None
Sivakasi,Coimbatore,280,8,0,1,Safe,Chennai → Pattukkottai,"Pattukkottai, Chennai"
Erode,Tiruppur,282,1,0,0,Moderate Risk,Perambalur → Pattukkottai,None
Gobichettipalayam,Vellore,182,3,1,0,Safe,Karaikudi,Karaikudi
Dharmapuri,Mettupalayam,232,7,0,0,Safe,Sathyamangalam → Namakkal → Avadi,"Sathyamangalam, Namakkal"
Dharmapuri,Karur,191,1,1,0,Moderate Risk,Madurai → Ambur → Cuddalore,None
Pollachi,Nagapattinam,68,5,1,1,Moderate Risk,Sivakasi → Chidambaram → Pattukkottai,"Chidambaram, Sivakasi, Pattukkottai"
Sivakasi,Nagercoil,294,3,0,0,Safe,Dindigul → Ambur → Perambalur,None
Mettupalayam,Chennai,229,7,0,0,High Risk,Nagapattinam → Sathyamangalam → Dindigul,Sathyamangalam
Gobichettipalayam,Madurai,215,9,1,1,High Risk,Thanjavur → Ramanathapuram,"Thanjavur, Ramanathapuram"
Ariyalur,Gobichettipalayam,58,2,1,0,Safe,Dindigul → Ambur,Dindigul
Sivakasi,Nagercoil,116,9,1,1,Moderate Risk,Gobichettipalayam,None
Erode,Madurai,128,2,1,1,Safe,Karaikudi → Avadi,None
Namakkal,Tiruchirappalli,363,6,0,1,Safe,Pollachi → Tambaram,"Tambaram, Pollachi"
Karur,Coimbatore,129,8,0,0,Moderate Risk,Vellore → Mettupalayam → Kanchipuram,"Mettupalayam, Kanchipuram"
Ramanathapuram,Villupuram,156,8,1,1,Safe,Ariyalur → Karur,"Karur, Ariyalur"
Pollachi,Tenkasi,170,1,0,0,High Risk,Madurai → Ambur → Villupuram,None
Coimbatore,Tirunelveli,304,6,1,1,Safe,Dindigul → Tiruppur,"Tiruppur, Dindigul"
Tambaram,Madurai,222,3,1,0,High Risk,Vellore,Vellore
Ramanathapuram,Salem,317,7,0,1,Safe,Karur → Dharmapuri → Erode,"Erode, Dharmapuri, Karur"
Kanchipuram,Pattukkottai,199,6,1,1,Safe,Ramanathapuram → Madurai,None
Cuddalore,Tiruchirappalli,162,6,1,1,Moderate Risk,Karaikudi → Avadi,None
Dharmapuri,Nagapattinam,135,2,0,0,High Risk,Dindigul → Thanjavur,"Thanjavur, Dindigul"
Gobichettipalayam,Kanchipuram,73,6,0,0,Moderate Risk,Nagercoil,None
Vellore,Avadi,267,8,0,0,High Risk,Villupuram,Villupuram
Pollachi,Chidambaram,168,5,0,1,High Risk,Karaikudi → Nagapattinam → Dindigul,Nagapattinam
Tiruppur,Vellore,165,4,0,1,Moderate Risk,Tirunelveli → Dharmapuri,"Dharmapuri, Tirunelveli"
Dindigul,Pudukkottai,209,9,0,1,High Risk,Villupuram → Madurai → Sivakasi,None
Tiruchirappalli,Nagercoil,112,8,1,1,Safe,Chidambaram,None
Namakkal,Thoothukudi,202,5,0,1,High Risk,Karaikudi → Villupuram,"Karaikudi, Villupuram"
Mettupalayam,Sivakasi,222,4,0,1,Safe,Villupuram → Karur → Dharmapuri,None
Chennai,Pattukkottai,206,3,1,1,Safe,Mettupalayam,Mettupalayam
Salem,Tirunelveli,369,6,1,1,Moderate Risk,Ramanathapuram → Nagercoil,None
Cuddalore,Pattukkottai,158,5,0,1,High Risk,Tenkasi → Namakkal → Coimbatore,None
Cuddalore,Nagercoil,266,7,1,0,High Risk,Pollachi → Namakkal → Chidambaram,None
Pollachi,Chennai,297,5,1,1,High Risk,Pattukkottai → Thanjavur,None
Namakkal,Dindigul,331,9,0,0,Moderate Risk,Tiruchirappalli → Ariyalur → Mettupalayam,None
Vellore,Thanjavur,247,8,0,1,Moderate Risk,Namakkal → Thoothukudi,Namakkal
Ambur,Perambalur,245,1,0,1,High Risk,Sathyamangalam → Vellore → Sivakasi,None
Cuddalore,Ariyalur,210,9,0,0,Safe,Nagercoil,None
Thanjavur,Chennai,201,2,0,0,High Risk,Pattukkottai → Dharmapuri → Ambur,"Pattukkottai, Ambur, Dharmapuri"
Chidambaram,Tenkasi,241,10,0,1,Moderate Risk,Tirunelveli → Karur → Thoothukudi,"Thoothukudi, Karur"
Salem,Thoothukudi,328,2,1,0,Safe,Tiruppur → Erode → Mettupalayam,Mettupalayam
